Position(function_name='_ZN8solidity8langutil11TokenTraits26isStateMutabilitySpecifierENS0_5TokenE', line_start=324, column_start=10, line_end=324, column_end=27)
Position(function_name='_ZN8solidity8langutil11TokenTraits26isStateMutabilitySpecifierENS0_5TokenE', line_start=324, column_start=31, line_end=324, column_end=48)
Position(function_name='_ZN8solidity8langutil11TokenTraits26isStateMutabilitySpecifierENS0_5TokenE', line_start=324, column_start=52, line_end=324, column_end=72)
Position(function_name='_ZN8solidity8langutil11TokenTraits22isEtherSubdenominationENS0_5TokenE', line_start=327, column_start=59, line_end=327, column_end=78)
Position(function_name='_ZN8solidity8langutil11TokenTraits22isEtherSubdenominationENS0_5TokenE', line_start=327, column_start=82, line_end=327, column_end=103)
Position(function_name='_ZN8solidity8langutil11TokenTraits21isTimeSubdenominationENS0_5TokenE', line_start=328, column_start=58, line_end=328, column_end=80)
Position(function_name='_ZN8solidity8langutil11TokenTraits21isTimeSubdenominationENS0_5TokenE', line_start=328, column_start=84, line_end=328, column_end=106)
Position(function_name='_ZN8solidity8langutil11TokenTraits21isTimeSubdenominationENS0_5TokenE', line_start=328, column_start=110, line_end=328, column_end=130)
Position(function_name='_ZN8solidity8langutil11TokenTraits21isTimeSubdenominationENS0_5TokenE', line_start=328, column_start=134, line_end=328, column_end=153)
Position(function_name='_ZN8solidity8langutil11TokenTraits21isTimeSubdenominationENS0_5TokenE', line_start=328, column_start=157, line_end=328, column_end=177)
Position(function_name='_ZN8solidity8langutil11TokenTraits21isTimeSubdenominationENS0_5TokenE', line_start=328, column_start=181, line_end=328, column_end=201)
Position(function_name='_ZN8solidity8langutil11TokenTraits17isReservedKeywordENS0_5TokenE', line_start=329, column_start=55, line_end=329, column_end=73)
Position(function_name='_ZN8solidity8langutil11TokenTraits12isYulKeywordENS0_5TokenE', line_start=333, column_start=10, line_end=333, column_end=32)
Position(function_name='_ZN8solidity8langutil11TokenTraits12isYulKeywordENS0_5TokenE', line_start=333, column_start=36, line_end=333, column_end=53)
Position(function_name='_ZN8solidity8langutil11TokenTraits12isYulKeywordENS0_5TokenE', line_start=333, column_start=57, line_end=333, column_end=73)
Position(function_name='_ZN8solidity8langutil11TokenTraits12isYulKeywordENS0_5TokenE', line_start=333, column_start=77, line_end=333, column_end=97)
