Position(function_name='StackLayoutGenerator.cpp:_ZN8solidity3yul8ShufflerIZNS0_17createStackLayoutIZN12_GLOBAL__N_116findStackTooDeepERKSt6vectorISt7variantIJNS0_27FunctionCallReturnLabelSlotENS0_23FunctionReturnLabelSlotENS0_12VariableSlotENS0_11LiteralSlotENS0_13TemporarySlotENS0_8JunkSlotEEESaISC_EESG_E3$_1ZNS3_16findStackTooDeepESG_SG_E3$_2ZNS3_16findStackTooDeepESG_SG_E3$_3EEvRSE_SG_T_T0_T1_E17ShuffleOperationsE11shuffleStepIJSK_SG_RSH_RSI_RSJ_EEEbDpOT_', line_start=348, column_start=43, line_end=348, column_end=81)
Position(function_name='StackLayoutGenerator.cpp:_ZN8solidity3yul8ShufflerIZNS0_17createStackLayoutIZN12_GLOBAL__N_116findStackTooDeepERKSt6vectorISt7variantIJNS0_27FunctionCallReturnLabelSlotENS0_23FunctionReturnLabelSlotENS0_12VariableSlotENS0_11LiteralSlotENS0_13TemporarySlotENS0_8JunkSlotEEESaISC_EESG_E3$_1ZNS3_16findStackTooDeepESG_SG_E3$_2ZNS3_16findStackTooDeepESG_SG_E3$_3EEvRSE_SG_T_T0_T1_E17ShuffleOperationsE11shuffleStepIJSK_SG_RSH_RSI_RSJ_EEEbDpOT_', line_start=348, column_start=7, line_end=348, column_end=39)
Position(function_name='StackLayoutGenerator.cpp:_ZN8solidity3yul8ShufflerIZNS0_17createStackLayoutIZN12_GLOBAL__N_116findStackTooDeepERKSt6vectorISt7variantIJNS0_27FunctionCallReturnLabelSlotENS0_23FunctionReturnLabelSlotENS0_12VariableSlotENS0_11LiteralSlotENS0_13TemporarySlotENS0_8JunkSlotEEESaISC_EESG_E3$_1ZNS3_16findStackTooDeepESG_SG_E3$_2ZNS3_16findStackTooDeepESG_SG_E3$_3EEvRSE_SG_T_T0_T1_E17ShuffleOperationsE11shuffleStepIJSK_SG_RSH_RSI_RSJ_EEEbDpOT_', line_start=354, column_start=21, line_end=354, column_end=22)
Position(function_name='StackLayoutGenerator.cpp:_ZN8solidity3yul8ShufflerIZNS0_17createStackLayoutIZN12_GLOBAL__N_116findStackTooDeepERKSt6vectorISt7variantIJNS0_27FunctionCallReturnLabelSlotENS0_23FunctionReturnLabelSlotENS0_12VariableSlotENS0_11LiteralSlotENS0_13TemporarySlotENS0_8JunkSlotEEESaISC_EESG_E3$_1ZNS3_16findStackTooDeepESG_SG_E3$_2ZNS3_16findStackTooDeepESG_SG_E3$_3EEvRSE_SG_T_T0_T1_E17ShuffleOperationsE11shuffleStepIJSK_SG_RSH_RSI_RSJ_EEEbDpOT_', line_start=362, column_start=21, line_end=362, column_end=22)
Position(function_name='StackLayoutGenerator.cpp:_ZN8solidity3yul8ShufflerIZNS0_17createStackLayoutIZN12_GLOBAL__N_116findStackTooDeepERKSt6vectorISt7variantIJNS0_27FunctionCallReturnLabelSlotENS0_23FunctionReturnLabelSlotENS0_12VariableSlotENS0_11LiteralSlotENS0_13TemporarySlotENS0_8JunkSlotEEESaISC_EESG_E3$_1ZNS3_16findStackTooDeepESG_SG_E3$_2ZNS3_16findStackTooDeepESG_SG_E3$_3EEvRSE_SG_T_T0_T1_E17ShuffleOperationsE11shuffleStepIJSK_SG_RSH_RSI_RSJ_EEEbDpOT_', line_start=363, column_start=45, line_end=363, column_end=80)
Position(function_name='StackLayoutGenerator.cpp:_ZN8solidity3yul8ShufflerIZNS0_17createStackLayoutIZN12_GLOBAL__N_116findStackTooDeepERKSt6vectorISt7variantIJNS0_27FunctionCallReturnLabelSlotENS0_23FunctionReturnLabelSlotENS0_12VariableSlotENS0_11LiteralSlotENS0_13TemporarySlotENS0_8JunkSlotEEESaISC_EESG_E3$_1ZNS3_16findStackTooDeepESG_SG_E3$_2ZNS3_16findStackTooDeepESG_SG_E3$_3EEvRSE_SG_T_T0_T1_E17ShuffleOperationsE11shuffleStepIJSK_SG_RSH_RSI_RSJ_EEEbDpOT_', line_start=363, column_start=8, line_end=363, column_end=41)
Position(function_name='StackLayoutGenerator.cpp:_ZN8solidity3yul8ShufflerIZNS0_17createStackLayoutIZZNS0_20StackLayoutGenerator10fillInJunkERKNS0_3CFG10BasicBlockEPKNS4_12FunctionInfoEENK3$_1clESt6vectorISt7variantIJNS0_27FunctionCallReturnLabelSlotENS0_23FunctionReturnLabelSlotENS0_12VariableSlotENS0_11LiteralSlotENS0_13TemporarySlotENS0_8JunkSlotEEESaISK_EERKSM_EUljE_ZZNS3_10fillInJunkES7_SA_ENKSB_clESM_SO_EUlRKSK_E_ZZNS3_10fillInJunkES7_SA_ENKSB_clESM_SO_EUlvE_EEvRSM_SO_T_T0_T1_E17ShuffleOperationsE21dupDeepSlotIfRequiredERSY_', line_start=149, column_start=21, line_end=149, column_end=22)
Position(function_name='StackLayoutGenerator.cpp:_ZN8solidity3yul8ShufflerIZNS0_17createStackLayoutIZZNS0_20StackLayoutGenerator10fillInJunkERKNS0_3CFG10BasicBlockEPKNS4_12FunctionInfoEENK3$_1clESt6vectorISt7variantIJNS0_27FunctionCallReturnLabelSlotENS0_23FunctionReturnLabelSlotENS0_12VariableSlotENS0_11LiteralSlotENS0_13TemporarySlotENS0_8JunkSlotEEESaISK_EERKSM_EUljE_ZZNS3_10fillInJunkES7_SA_ENKSB_clESM_SO_EUlRKSK_E_ZZNS3_10fillInJunkES7_SA_ENKSB_clESM_SO_EUlvE_EEvRSM_SO_T_T0_T1_E17ShuffleOperationsE21dupDeepSlotIfRequiredERSY_', line_start=150, column_start=10, line_end=150, column_end=49)
Position(function_name='StackLayoutGenerator.cpp:_ZN8solidity3yul8ShufflerIZNS0_17createStackLayoutIZZNS0_20StackLayoutGenerator12combineStackERKSt6vectorISt7variantIJNS0_27FunctionCallReturnLabelSlotENS0_23FunctionReturnLabelSlotENS0_12VariableSlotENS0_11LiteralSlotENS0_13TemporarySlotENS0_8JunkSlotEEESaISC_EESG_ENK3$_1clESG_EUljE_ZZNS3_12combineStackESG_SG_ENKSH_clESG_EUlRKSC_E_ZZNS3_12combineStackESG_SG_ENKSH_clESG_EUlvE_EEvRSE_SG_T_T0_T1_E17ShuffleOperationsE11shuffleStepIJSN_SG_RSI_RSL_RSM_EEEbDpOT_', line_start=354, column_start=21, line_end=354, column_end=22)
Position(function_name='StackLayoutGenerator.cpp:_ZN8solidity3yul8ShufflerIZNS0_17createStackLayoutIZZNS0_20StackLayoutGenerator12combineStackERKSt6vectorISt7variantIJNS0_27FunctionCallReturnLabelSlotENS0_23FunctionReturnLabelSlotENS0_12VariableSlotENS0_11LiteralSlotENS0_13TemporarySlotENS0_8JunkSlotEEESaISC_EESG_ENK3$_1clESG_EUljE_ZZNS3_12combineStackESG_SG_ENKSH_clESG_EUlRKSC_E_ZZNS3_12combineStackESG_SG_ENKSH_clESG_EUlvE_EEvRSE_SG_T_T0_T1_E17ShuffleOperationsE11shuffleStepIJSN_SG_RSI_RSL_RSM_EEEbDpOT_', line_start=362, column_start=21, line_end=362, column_end=22)
